Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceId
22,C,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a
14,C,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a
9,C,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a
23,1.50,52.2208794,6.89531949,null,45,null,null,null,1377336343000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
11,D,52.221312219999994,6.89530514,null,45,null,null,null,1377336871000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
15,D,52.22234808333334,6.892068200000001,null,113,null,null,null,1377337336000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
21,2000,52.23047937,6.892758929999999,null,61,null,null,null,1377338727000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
19,B,52.22187867,6.89657514,null,45,null,null,null,1377339374000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
16,B,52.221665,6.895866,null,83,null,null,null,1377339536000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
20,C,52.22175379,6.8966306,null,45,null,null,null,1377339671000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
7,C,52.22175379,6.8966306,null,45,null,null,null,1377339671000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
24,1.00,52.220814450000006,6.8954777499999995,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
6,blauw,52.220814450000006,6.8954777499999995,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
10,C,52.220814450000006,6.8954777499999995,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
17,A,52.220814450000006,6.8954777499999995,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
4,Martin Meijers,52.21695255,6.89887685,null,182,null,null,null,1377341366000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
3,C,52.21695255,6.89887685,null,182,null,null,null,1377341366000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
2,C,52.21702798,6.89929005,null,50,null,null,null,1377341500000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
12,B,52.21709284,6.899099770000001,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
13,Dienst Uitvoerend Onderwijs,52.21709284,6.899099770000001,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
22,C,52.21709284,6.899099770000001,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
14,D,52.21709284,6.899099770000001,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
9,C,52.21709284,6.899099770000001,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824
23,1.50,52.221197672944136,6.895274244796541,371.40493448057754,96,null,null,0,1377336429857,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
11,D,52.22135979685133,6.895153617436563,94.43866564785561,8,null,353.2204284667969,0,1377336990000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
15,D,52.222302813305824,6.890243791520729,94.59291153948394,12,null,197.84735107421875,0,1377337579999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
21,2000,52.23040590749509,6.89285776368878,121.04802344524748,24,null,null,0,1377338732391,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
19,B,52.22199790059342,6.896689952221806,92.48136408941843,6,null,98.6749267578125,0,1377339421000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
16,B,52.22178740137098,6.895281737483785,88.7735816758246,12,null,0.41966181993484497,0,1377339567999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
20,C,52.22140627424065,6.897627091096451,84.70160770513871,8,null,246.79827880859375,0,1377339776999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
7,C,52.22058143411842,6.8953110047597574,83.33013222932617,16,null,333.1604919433594,0,1377340188999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
24,1.00,52.21975618075589,6.896237373639514,84.08678067984565,6,null,198.65594482421875,0,1377340392999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
6,blauw,52.21933306448181,6.896357686635136,92.77482415806001,6,null,95.57120513916016,0,1377340503000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
10,C,52.21933199748477,6.896360016077175,91.30876961457447,8,null,95.57120513916016,0,1377340658000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
17,A,52.21933199748477,6.896360016077175,89.2782573383977,6,null,95.57120513916016,0,1377340785000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
4,martin meijers,52.21698529415891,6.899099680316918,100.46051215469816,12,null,315.0640869140625,0,1377341443999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
3,C,52.21698529415891,6.899099680316918,100.2279290770416,12,null,315.0640869140625,0,1377341461999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
2,C,52.21698529415891,6.899099680316918,97.50553831339765,8,null,315.0640869140625,0,1377341516999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
